Ime,Visina,Lokacija
Počitniški dom v Možnici,793,"46,38443°N 13,56775°"
Kamin Široka polica,780,"46,27738°N 13,91286°"
Slap Mostnice,773,"46,3305°N 13,8755°"
Rio Bianco / Beli potok,770,"46,2777°N 13,3829°"
Korita Mlinarice,770,"46,40282°N 13,74513°"
Sveti Lenart (Bača pri Podbrdu),751,"46,2219°N 13,9723°"
Koča pri Peričniku,750,"46,4385°N 13,8962°"
Slap Slatenik,750,"46,30815°N 13,5853°"
Okrepčevalnica Slap Voje,745,"46,3293°N 13,8782°"
Gogalova lipa,725,"46,4319°N 13,9533°"
Mladinski izobraževalni center v Bavšici,725,"46,36914°N 13,63367°"
Jamnikov spodmol,720,"46,4172°N 14,0844°"
Belopotoški slap,720,"46,3835°N 13,78111°"
Jezero Kreda,715,"46,4488°N 13,9286°"
Dolina Škratov,700,"46,30941°N 13,58232°"
Slap Parabola,700,"46,40195°N 13,60737°"
Izvir Tolminke,695,"46,25741°N 13,72818°"
Mala Osojnica,691,"46,35703°N 14,08113°"
Koča na Vojah,690,"46,31017°N 13,88238°"
Gorejca,680,"46,40152°N 13,59223°"
Slap Boka,680,"46,3212°N 13,4784°"
Jezero Kreda v dolini Radovne,674,"46,4166°N 13,9916°"
Izvir Bele,665,"46,2712°N 13,4257°"
Izvir Lipnika,660,"46,3846°N 14,0266°"
Spominsko obeležje Aleš Kunaver,660,"46,4127°N 14,0895°"
Jezerce v dolini Radovne,657,"46,3905°N 14,0189°"
Koča pri Savici,653,"46,28979°N 13,8024°"
Peč (razgledišče),650,"46,27562°N 13,91005°"
Straža ,646,"46,35971°N 14,1035°"
Marija Snežna v Breginjskem kotu,645,"46,26577°N 13,42156°"
Sveta Katarina na Homu,634,"46,3945°N 14,108°"
Poglejska cerkev,630,"46,374°N 14,07192°"
Dobra gora,620,"46,3542°N 14,1095°"
Izvir Bistrice,610,
Blejski grad,599,"46,3697°N 14,1004°"
Ribenska gora,588,
Ajdovski gradec,580,"46,27941°N 13,96267°"
Korita Možnice (Nemčlje),580,"46,38047°N 13,57911°"
Javorca,571,"46,23491°N 13,71976°"
Jama Srnica,550,"46,33136°N 13,50243°"
Iglica,550,"46,34817°N 14,05965°"
Sveti Janez Krstnik (Ribčev Laz),532,"46,2786°N 13,8866°"
Slap Šum v Blejskem Vintgarju,520,"46,4006°N 14,0987°"
Mlina peč,506,"46,351°N 14,0657°"
Žičnica čez Tolminko,500,"46,24838°N 13,72596°"
Tonovcov grad pri Kobaridu,500,"46,25763°N 13,58033°"
Gradišče (Bodešče),499,"46,3435°N 14,1392°"
Sveti Lenart (Bodešče),485,"46,3437°N 14,1393°"
Velika korita Soče,480,"46,33706°N 13,6459°"
Blejsko jezero,475,"46,36502°N 14,08872°"
Slap Beri,454,"46,18386°N 13,76497°"
Izvir Glijuna,450,"46,3352°N 13,51064°"
Mala Boka,440,"46,3208°N 13,49241°"
Kozlov rob,426,"46,1893°N 13,7254°"
Slap Sopota (Soupat),400,"46,1692°N 13,80274°"
Slap Virje,400,"46,33494°N 13,51418°"
Gregorčičev slap,390,
Korita Soče pri Kršovcu,390,"46,33341°N 13,59312°"
Veliki slap Kozjak,250,"46,25801°N 13,58822°"
Mali slap Kozjak,230,"46,25773°N 13,58801°"
Tolminska korita,180,"46,2005°N 13,7421°"
